epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,428.048,0.68239,0.56269,1.09302,0.86186,0.70374,0.78761,0.55368,1.07405,0.86337,1.35795,0.00101512,0.00101512,0.00101512
81,433.029,0.63034,0.52949,1.05569,0.81904,0.71359,0.78173,0.57791,0.93569,0.7878,1.2004,0.00100687,0.00100687,0.00100687
82,438.399,0.64106,0.54589,1.0562,0.80463,0.71279,0.75268,0.55119,0.97036,0.90126,1.2632,0.000998616,0.000998616,0.000998616
83,444.208,0.628,0.51836,1.05195,0.86269,0.65533,0.75108,0.55481,0.95597,0.84612,1.23335,0.000990365,0.000990365,0.000990365
84,449.196,0.6443,0.53381,1.07491,0.86653,0.66422,0.74904,0.56444,0.97771,0.88115,1.24563,0.000982113,0.000982113,0.000982113
85,454.04,0.63626,0.54415,1.06228,0.84613,0.68199,0.7427,0.54278,0.98006,0.84202,1.24483,0.000973861,0.000973861,0.000973861
86,459.193,0.63689,0.53408,1.04021,0.82494,0.69973,0.74563,0.5512,1.00019,0.87363,1.2698,0.00096561,0.00096561,0.00096561
87,464.26,0.61666,0.51746,1.04118,0.75317,0.69699,0.74342,0.5398,1.04096,1.06629,1.29671,0.000957358,0.000957358,0.000957358
88,469.396,0.64504,0.53454,1.06175,0.81546,0.65165,0.74971,0.53542,1.00701,0.92046,1.29286,0.000949106,0.000949106,0.000949106
89,474.502,0.61457,0.53287,1.04525,0.82641,0.68203,0.76965,0.55622,0.95303,0.84005,1.27987,0.000940855,0.000940855,0.000940855
90,479.798,0.63567,0.53132,1.04733,0.84984,0.67371,0.75249,0.53382,0.99194,0.88838,1.31441,0.000932603,0.000932603,0.000932603
91,485.041,0.62704,0.52985,1.04425,0.82762,0.66359,0.73832,0.53818,1.01822,0.92336,1.30812,0.000924352,0.000924352,0.000924352
92,489.914,0.62111,0.50898,1.04043,0.84671,0.67287,0.74234,0.5467,0.95816,0.87341,1.21152,0.0009161,0.0009161,0.0009161
93,495.094,0.59216,0.50171,1.03181,0.85725,0.67596,0.77856,0.57968,0.9089,0.82364,1.1709,0.000907848,0.000907848,0.000907848
94,500.815,0.58745,0.50154,1.03246,0.84381,0.67463,0.76677,0.56299,0.94432,0.79812,1.22395,0.000899597,0.000899597,0.000899597
95,506.028,0.60901,0.50979,1.04389,0.84543,0.68095,0.74238,0.54545,0.94211,0.83917,1.23101,0.000891345,0.000891345,0.000891345
96,511.025,0.61815,0.50013,1.03956,0.83379,0.65349,0.72503,0.54006,0.9535,0.95482,1.22097,0.000883093,0.000883093,0.000883093
97,515.956,0.58977,0.49292,1.02524,0.80305,0.68597,0.7372,0.5503,0.95157,0.89279,1.19953,0.000874842,0.000874842,0.000874842
98,521.313,0.60129,0.50225,1.03211,0.85022,0.6576,0.74407,0.55564,0.9723,0.92504,1.22267,0.00086659,0.00086659,0.00086659
99,526.355,0.6141,0.50048,1.05679,0.85871,0.66425,0.73794,0.53658,0.98341,1.01749,1.22067,0.000858338,0.000858338,0.000858338
100,532.148,0.6025,0.50197,1.03037,0.81583,0.66914,0.7567,0.55938,0.9559,0.90738,1.2022,0.000850087,0.000850087,0.000850087
101,536.972,0.60751,0.50675,1.03929,0.80337,0.69506,0.77139,0.56207,1.00257,0.84665,1.24595,0.000841835,0.000841835,0.000841835
102,541.878,0.58315,0.47675,1.01648,0.84843,0.7132,0.77934,0.58431,0.92454,0.78815,1.20336,0.000833583,0.000833583,0.000833583
103,546.763,0.58515,0.50964,1.0406,0.84394,0.70892,0.77636,0.56953,0.95668,0.87057,1.21527,0.000825332,0.000825332,0.000825332
104,551.748,0.59799,0.49139,1.03813,0.81733,0.69989,0.76508,0.55902,0.98439,0.91201,1.22641,0.00081708,0.00081708,0.00081708
105,556.718,0.59078,0.50169,1.03531,0.85293,0.69113,0.75747,0.55908,0.95929,0.856,1.21882,0.000808828,0.000808828,0.000808828
106,561.892,0.5861,0.47929,1.03048,0.82654,0.70374,0.77987,0.55719,0.98186,0.82366,1.25591,0.000800577,0.000800577,0.000800577
107,566.806,0.59584,0.48099,1.02354,0.8012,0.73046,0.78253,0.57289,0.92279,0.80922,1.20672,0.000792325,0.000792325,0.000792325
108,571.781,0.56374,0.46006,1.02288,0.85882,0.69225,0.76801,0.5731,0.93992,0.83549,1.21312,0.000784073,0.000784073,0.000784073
109,576.862,0.57794,0.48161,1.0215,0.89597,0.66734,0.77607,0.57818,0.94911,0.80784,1.19983,0.000775822,0.000775822,0.000775822
110,582.028,0.5789,0.46761,1.03628,0.83705,0.70711,0.78352,0.57661,0.94108,0.80097,1.19213,0.00076757,0.00076757,0.00076757
111,587.035,0.56717,0.46761,1.01872,0.85153,0.70563,0.78552,0.57256,0.94222,0.81256,1.20603,0.000759318,0.000759318,0.000759318
112,592.611,0.54624,0.45324,1.00096,0.83887,0.71376,0.78674,0.58388,0.90121,0.80053,1.15254,0.000751067,0.000751067,0.000751067
113,597.847,0.5545,0.47247,1.00818,0.86719,0.66605,0.77145,0.55779,0.93851,0.83891,1.18209,0.000742815,0.000742815,0.000742815
114,602.735,0.54452,0.45534,1.00548,0.86609,0.66881,0.7709,0.56498,0.95902,0.83738,1.19795,0.000734564,0.000734564,0.000734564
115,607.458,0.55461,0.45232,0.99945,0.81129,0.731,0.77463,0.56172,0.97589,0.88414,1.23102,0.000726312,0.000726312,0.000726312
116,612.389,0.54249,0.44464,0.98979,0.85952,0.70261,0.77707,0.56667,0.94763,0.85827,1.22735,0.00071806,0.00071806,0.00071806
117,617.792,0.53597,0.44398,0.99541,0.84489,0.69547,0.76885,0.57224,0.93317,0.88019,1.20587,0.000709809,0.000709809,0.000709809
118,623.05,0.54641,0.43942,1.00193,0.88387,0.66107,0.76814,0.56947,0.94711,0.96248,1.22785,0.000701557,0.000701557,0.000701557
119,628.146,0.54592,0.45579,1.00043,0.8341,0.70111,0.77033,0.57071,0.98304,0.99659,1.28158,0.000693305,0.000693305,0.000693305
120,633.073,0.56124,0.45732,1.00462,0.84167,0.71567,0.76504,0.57014,0.93841,0.96285,1.22698,0.000685054,0.000685054,0.000685054
121,638.178,0.55185,0.44076,1.01377,0.84561,0.66881,0.75052,0.56213,0.97002,0.96932,1.25969,0.000676802,0.000676802,0.000676802
122,643.347,0.54705,0.46034,1.0124,0.86198,0.68964,0.75826,0.56094,0.99818,0.90203,1.26181,0.00066855,0.00066855,0.00066855
123,648.719,0.51126,0.42619,0.97542,0.8493,0.71543,0.76126,0.569,0.96969,0.86816,1.23312,0.000660299,0.000660299,0.000660299
124,653.784,0.53006,0.43743,0.99122,0.84139,0.69095,0.77765,0.58675,0.90608,0.83791,1.22312,0.000652047,0.000652047,0.000652047
125,658.979,0.537,0.41837,0.98534,0.85226,0.67892,0.77724,0.57517,0.93101,0.86043,1.2248,0.000643795,0.000643795,0.000643795
126,663.914,0.52175,0.44109,0.98899,0.85846,0.69393,0.77005,0.57822,0.88919,0.81591,1.19774,0.000635544,0.000635544,0.000635544
